date,quarter,stocks,stocks_count
2009-09-30,2009-Q3,"TGKB,TGKN,TGKA,TGKBP,MSNG,MRKP,OGKB,MRKV,UPRO,ROSN,MRKU,MRKZ,MRKS,GAZP,MRKY,ELFV,MSRS,TTLK,GMKN,LKOH,MRKC,DVEC,VTBR,SBER,RTKMP,BLNG,SIBN,IRKT,IRAO,FESH,SNGS,HYDR,PIKK,MAGN,FEES,KMAZ,APTK,TATN,SBERP,SNGSP",40
2009-12-31,2009-Q4,"TGKB,TGKN,TGKA,TGKBP,MRKP,TTLK,OGKB,MRKV,MSNG,UPRO,MRKY,MRKU,ROSN,MRKS,MRKZ,ELFV,GAZP,MSRS,DVEC,MRKC,LKOH,VTBR,GMKN,RTKMP,SIBN,IRAO,SBER,BLNG,NMTP,SNGS,PIKK,APTK,FEES,HYDR,IRKT,FESH,MAGN,RASP,SNGSP,SBERP",40
2010-03-31,2010-Q1,"TGKB,TGKN,TGKA,MRKY,MRKP,TGKBP,OGKB,MRKV,MRKU,MSNG,UPRO,MRKC,MRKZ,MRKS,ROSN,MSRS,TTLK,ELFV,GAZP,DVEC,UNAC,GMKN,RTKMP,LKOH,VTBR,IRAO,BLNG,SIBN,SBER,PIKK,CHMF,RASP,HYDR,APTK,FESH,SNGS,FEES,TRNFP,MAGN,AMEZ",40
2010-06-30,2010-Q2,"TGKB,TGKBP,TGKN,TGKA,MRKY,OGKB,UPRO,MSNG,MRKV,MRKP,MRKS,MRKU,ROSN,ELFV,MSRS,MRKZ,MRKC,UNAC,GAZP,DVEC,TTLK,GMKN,IRAO,LKOH,RTKMP,VTBR,BLNG,SIBN,SBER,HYDR,TRNFP,RASP,PIKK,MAGN,SNGS,CHMF,FESH,FEES,APTK,NMTP",40
2010-09-30,2010-Q3,"TGKB,TGKA,TGKN,TGKBP,OGKB,MSNG,MRKY,MRKP,MRKU,UPRO,MRKV,ROSN,ELFV,MRKS,MSRS,MRKZ,GAZP,MRKC,TTLK,UNAC,RTKMP,GMKN,IRAO,LKOH,NMTP,DVEC,VTBR,SBER,APTK,BLNG,TRNFP,SIBN,HYDR,RASP,PIKK,CHMF,MAGN,SNGS,FESH,FEES",40
2010-12-31,2010-Q4,"TGKB,TGKN,TGKA,TGKBP,MRKV,MRKY,MRKP,OGKB,MRKU,MSNG,UPRO,MSRS,ROSN,MRKS,MRKZ,MRKC,ELFV,GAZP,TTLK,UNAC,RTKMP,GMKN,DVEC,IRAO,LKOH,VTBR,NMTP,SBER,SIBN,PIKK,BLNG,TRNFP,APTK,FESH,HYDR,CHMF,RASP,MAGN,SNGS,IRKT",40
2011-03-31,2011-Q1,"TGKB,TGKA,TGKN,TGKBP,MRKP,MRKV,MRKY,OGKB,TTLK,UPRO,MRKU,MSNG,ROSN,MRKS,ELFV,GAZP,MRKZ,MRKC,MSRS,UNAC,GMKN,LKOH,DVEC,VTBR,PIKK,IRAO,RTKMP,SBER,SIBN,RBCM,RASP,BLNG,HYDR,CHMF,SNGS,FEES,NMTP,MAGN,TRNFP,APTK",40
2011-06-30,2011-Q2,"TGKB,TGKA,TGKN,TGKBP,OGKB,UPRO,MRKU,MRKP,MSNG,MRKV,MRKY,ROSN,ELFV,MSRS,GAZP,TTLK,MRKS,MRKZ,MRKC,DVEC,GMKN,LKOH,RBCM,UNAC,VTBR,IRAO,SBER,SIBN,RTKMP,PIKK,RASP,CHMF,MAGN,SNGS,TRNFP,HYDR,NMTP,FEES,BLNG,PLZL",40
2011-09-30,2011-Q3,"TGKB,TGKA,TGKN,TGKBP,OGKB,UPRO,MRKP,MRKU,MSNG,ROSN,MSRS,MRKV,MRKY,ELFV,GAZP,MRKZ,UNAC,TTLK,MRKS,GMKN,LKOH,MRKC,RBCM,IRAO,DVEC,VTBR,RTKMP,SBER,NMTP,RASP,MAGN,RTKM,PIKK,CHMF,SNGS,SIBN,HYDR,FEES,FESH,TRNFP",40
2011-12-31,2011-Q4,"TGKB,TGKA,TGKN,TGKBP,OGKB,MRKP,MRKU,MSNG,UPRO,ROSN,MSRS,ELFV,MRKY,GAZP,MRKV,MRKZ,TTLK,RBCM,MRKS,LKOH,MRKC,RASP,GMKN,SBER,IRAO,VTBR,UNAC,RTKMP,MAGN,DVEC,CHMF,TRNFP,NMTP,RTKM,SIBN,SNGS,FESH,HYDR,NLMK,FEES",40
2012-03-31,2012-Q1,"TGKA,TGKB,TGKN,OGKB,TGKBP,ELFV,MSNG,UPRO,MRKU,MRKP,ROSN,MRKV,MRKY,MSRS,MRKS,GAZP,TTLK,MRKC,MRKZ,LKOH,RBCM,IRAO,VTBR,RASP,GMKN,UNAC,DVEC,SBER,MAGN,TRNFP,RTKMP,SNGS,SIBN,CHMF,FESH,HYDR,SNGSP,NLMK,RTKM,FEES",40
2012-06-30,2012-Q2,"TGKB,TGKA,TGKN,OGKB,UPRO,MSNG,TGKBP,MRKU,MRKP,ROSN,MRKY,MRKV,MSRS,GAZP,ELFV,TTLK,MRKC,LKOH,IRAO,RBCM,MRKZ,MRKS,UNAC,VTBR,GMKN,SBER,MAGN,DVEC,RTKMP,SIBN,TRNFP,SNGS,FESH,RASP,CHMF,FEES,NVTK,SNGSP,HYDR,RTKM",40
2012-09-30,2012-Q3,"TGKB,TGKA,TGKN,TGKBP,MRKP,MSNG,OGKB,UPRO,MRKU,MRKV,ROSN,MRKY,ELFV,MRKC,MRKZ,GAZP,MSRS,MRKS,LKOH,VTBR,TTLK,MAGN,IRAO,GMKN,UNAC,SBER,RASP,RBCM,SNGS,FEES,RTKMP,CHMF,TRNFP,HYDR,NVTK,SIBN,DVEC,SNGSP,FESH,SELG",40
