date,quarter,stocks,stocks_count
2019-12-31,2019-Q4,"GAZP,LKOH,GMKN,SNGS,YDEX,ROSN,TATN,VTBR,CHMF,ALRS,SNGSP,MGNT,IRAO,NLMK,SBER,MTSS,NVTK,MOEX,PLZL,MAGN,AFLT,TRNFP,AFKS,TATNP,HYDR,X5,SIBN,FEES,RGSS,RUAL,TRMK,RTKM,PHOR,CBOM,PIKK,UPRO,BANEP,RASP,OGKB,SBERP",40
2020-03-31,2020-Q1,"GAZP,LKOH,GMKN,ROSN,SNGS,MGNT,TATN,NVTK,YDEX,HYDR,VTBR,AFLT,ALRS,IRAO,PLZL,SNGSP,SBER,MTSS,MOEX,CHMF,NLMK,FEES,MAGN,TATNP,MTLR,AFKS,X5,RUAL,SIBN,T,TRNFP,RTKM,UPRO,PHOR,OGKB,CBOM,RASP,TRMK,BANEP,SBERP",40
2020-06-30,2020-Q2,"GAZP,LKOH,GMKN,ROSN,TATN,PLZL,SNGS,NVTK,AFLT,MGNT,YDEX,MOEX,SBER,VTBR,MTSS,ALRS,IRAO,SNGSP,CHMF,NLMK,SIBN,HYDR,TATNP,TRNFP,X5,AFKS,FEES,MAGN,T,TRMK,CBOM,RUAL,RTKM,MTLR,UPRO,PHOR,SBERP,BANEP,OGKB,LSRG",40
2020-09-30,2020-Q3,"YDEX,GAZP,GMKN,LKOH,PLZL,MGNT,TATN,ROSN,IRAO,MOEX,VTBR,SBER,MTSS,ALRS,NVTK,SNGS,AFLT,SNGSP,VKCO,CHMF,NLMK,AFKS,MAGN,HYDR,X5,T,TRNFP,SIBN,TATNP,FEES,RUAL,CBOM,RTKM,UPRO,PHOR,MVID,SBERP,OGKB,LSRG,BANEP",40
2020-12-31,2020-Q4,"GAZP,LKOH,GMKN,YDEX,PLZL,ROSN,TATN,AFKS,AFLT,SBER,MOEX,MGNT,MAGN,VKCO,ALRS,NVTK,NLMK,CHMF,VTBR,MTSS,SNGS,IRAO,SNGSP,X5,T,TATNP,HYDR,OZON,RUAL,SIBN,FLOT,FEES,CBOM,MTLR,TRNFP,QIWI,PHOR,RTKM,MVID,SBERP",40
2021-03-31,2021-Q1,"GMKN,GAZP,LKOH,ROSN,YDEX,TATN,MGNT,T,NVTK,PLZL,ALRS,NLMK,CHMF,SBER,MAGN,OZON,MOEX,AFKS,SNGS,MTSS,SNGSP,AFLT,VTBR,IRAO,X5,VKCO,RUAL,SIBN,TATNP,HYDR,PHOR,CBOM,QIWI,RTKM,MVID,FEES,UPRO,BELU,TRNFP,MTLR",40
2021-06-30,2021-Q2,"GAZP,GMKN,LKOH,VTBR,YDEX,ROSN,CHMF,ALRS,NLMK,TATN,MAGN,PLZL,MGNT,NVTK,OZON,T,SNGSP,MOEX,SBER,AFKS,SNGS,MTSS,X5,AFLT,RUAL,IRAO,VKCO,TATNP,SIBN,CBOM,PHOR,HYDR,TRNFP,MVID,FEES,MTLR,PIKK,RTKM,RASP,FLOT",40
2021-09-30,2021-Q3,"GAZP,LKOH,GMKN,ROSN,ALRS,NVTK,NLMK,YDEX,CHMF,TATN,VTBR,MAGN,T,MGNT,RUAL,PLZL,SNGSP,SNGS,MTSS,MTLR,MOEX,SBER,IRAO,X5,OZON,AFKS,SMLT,AFLT,PIKK,TATNP,PHOR,CBOM,MTLRP,VKCO,ABIO,SIBN,RASP,FEES,TRNFP,HYDR",40
2021-12-31,2021-Q4,"GAZP,LKOH,GMKN,ROSN,YDEX,SNGS,ALRS,VTBR,T,NVTK,NLMK,RUAL,PLZL,MGNT,TATN,CHMF,SBER,MAGN,MOEX,SNGSP,PIKK,IRAO,X5,MTLR,OZON,MTSS,AFKS,PHOR,VKCO,ABIO,RASP,SIBN,AFLT,TATNP,MTLRP,CBOM,SGZH,HYDR,TRNFP,FEES",40
2022-03-31,2022-Q1,"GAZP,LKOH,YDEX,GMKN,ROSN,SBER,T,VTBR,ALRS,NVTK,MAGN,NLMK,CHMF,PLZL,MGNT,RUAL,TATN,MOEX,OZON,SNGS,VKCO,SNGSP,PHOR,AFKS,IRAO,MTSS,AFLT,X5,RASP,MTLR,PIKK,CBOM,SIBN,TATNP,MTLRP,ENPG,SBERP,HYDR,TRNFP,FEES",40
2022-06-30,2022-Q2,"GAZP,LKOH,ROSN,GMKN,NVTK,VTBR,YDEX,CHMF,SBER,T,PHOR,ALRS,PLZL,MGNT,MTLR,PIKK,MAGN,SNGS,MTSS,IRAO,AFKS,CBOM,NLMK,SNGSP,AFLT,MTLRP,TATN,VKCO,RUAL,MOEX,OZON,SMLT,AKRN,SIBN,RASP,SGZH,HYDR,X5,UPRO,OGKB",40
2022-09-30,2022-Q3,"GAZP,LKOH,GMKN,NVTK,ROSN,YDEX,PLZL,T,MGNT,SBER,VTBR,VKCO,PHOR,MAGN,SNGS,SNGSP,NLMK,ALRS,OZON,CHMF,CBOM,MTSS,AFKS,RUAL,TATN,PIKK,MOEX,RASP,MTLR,AFLT,IRAO,SGZH,SMLT,X5,ABIO,SIBN,FEES,TATNP,TRNFP,POSI",40
2022-12-31,2022-Q4,"GAZP,LKOH,PLZL,GMKN,ROSN,YDEX,MGNT,NVTK,T,SBER,VTBR,MAGN,CHMF,NLMK,ALRS,VKCO,PHOR,RUAL,SNGS,SIBN,MTSS,CBOM,MOEX,SNGSP,OZON,SMLT,TATN,PIKK,SGZH,AFKS,IRAO,X5,MTLR,LNZL,RASP,POSI,LSNG,AFLT,TATNP,TRNFP",40
2023-03-31,2023-Q1,"GAZP,PLZL,LKOH,ABIO,SBER,NVTK,VTBR,GMKN,ROSN,YDEX,MGNT,TATN,CHMF,ALRS,MOEX,MAGN,PHOR,T,SNGS,NLMK,LNZLP,AFLT,MTLR,RUAL,AMEZ,CBOM,LIFE,AFKS,BLNG,MTSS,FLOT,OZON,UWGN,VKCO,MSTT,SNGSP,RNFT,RASP,KZOSP,POSI",40
2023-06-30,2023-Q2,"GAZP,LKOH,VTBR,MGNT,YDEX,PLZL,MTSS,MTLR,GMKN,SNGSP,ROSN,NVTK,SBER,TRNFP,FLOT,T,TATN,ALRS,CHMF,AFLT,SMLT,MAGN,VKCO,SNGS,NLMK,BANEP,MOEX,RNFT,AFKS,RUAL,BSPB,FESH,ABIO,MSNG,OZON,PHOR,SVAV,KMAZ,TRMK,UWGN",40
2023-09-30,2023-Q3,"LKOH,GAZP,VTBR,TRNFP,MGNT,YDEX,SNGSP,GMKN,ROSN,ALRS,PLZL,FLOT,NMTP,TATN,OZON,MOEX,MTLR,NLMK,NVTK,T,CHMF,MTSS,UWGN,X5,RNFT,MAGN,SBER,ROLO,FESH,VKCO,SMLT,BSPB,TRMK,RUAL,SNGS,BELU,SELG,PHOR,GTRK,UNAC",40
2023-12-31,2023-Q4,"MTLR,LKOH,GAZP,YDEX,SNGSP,MGNT,ROSN,VTBR,GMKN,TATN,TRNFP,MTLRP,MOEX,VKCO,NLMK,NVTK,SNGS,T,ALRS,FLOT,SIBN,SGZH,SBER,RAGR,CHMF,OZON,UWGN,PLZL,POSI,RASP,MTSS,FESH,GTRK,MAGN,BANEP,BSPB,X5,SMLT,ROLO,TRMK",40
2024-03-31,2024-Q1,"YDEX,LKOH,T,MTLR,GAZP,VTBR,ROSN,MGNT,CHMF,TRNFP,UWGN,NVTK,SNGSP,VKCO,SFIN,GMKN,NLMK,OZON,MAGN,MOEX,TATN,X5,SNGS,ALRS,PLZL,SVCB,FLOT,QIWI,AFKS,SIBN,EUTR,BSPB,SBER,MTSS,LSRG,MTLRP,POSI,RNFT,BANEP,PIKK",40
2024-06-30,2024-Q2,"GAZP,LKOH,T,RNFT,AFKS,YDEX,SNGSP,PLZL,OZON,VTBR,SNGS,NLMK,AFLT,MGNT,ROSN,NVTK,CHMF,GMKN,MTLR,RUAL,MOEX,TRNFP,TATN,MAGN,MTSS,VKCO,ALRS,UGLD,SBER,POSI,EUTR,SMLT,IRAO,ASTR,SIBN,BSPB,FLOT,SGZH,RTKM,SFIN",40
2024-09-30,2024-Q3,"GAZP,LKOH,YDEX,T,MTLR,NVTK,VTBR,OZON,SNGSP,MGNT,AFKS,ROSN,PLZL,AFLT,NLMK,TRNFP,GMKN,EUTR,ALRS,TATN,SGZH,SBER,CHMF,SNGS,MTSS,MOEX,VKCO,RNFT,MTLRP,SIBN,MAGN,UGLD,SMLT,POSI,FLOT,RUAL,BSPB,TRMK,FESH,SVCB",40
2024-12-31,2024-Q4,"T,GAZP,LKOH,OZON,YDEX,SMLT,MTLR,PLZL,GMKN,ROSN,MGNT,VTBR,AFKS,NVTK,AFLT,TATN,TRNFP,SNGSP,NLMK,MOEX,HEAD,SBER,CHMF,ALRS,SNGS,SGZH,VKCO,SIBN,PIKK,MAGN,MTSS,UWGN,RNFT,RUAL,POSI,UGLD,EUTR,SVCB,MTLRP,PHOR",40
2025-03-31,2025-Q1,"GAZP,T,VTBR,SMLT,LKOH,NVTK,X5,GMKN,YDEX,MTLR,ROSN,AFLT,PLZL,MGNT,AFKS,PIKK,RNFT,VKCO,MOEX,SNGS,TATN,NLMK,TRNFP,SBER,OZON,POSI,CHMF,SNGSP,MAGN,ALRS,UPRO,RUAL,SELG,HEAD,SIBN,FLOT,SGZH,MTLRP,MTSS,RAGR",40
2025-06-30,2025-Q2,"GAZP,T,VTBR,LKOH,SBER,NVTK,PIKK,ROSN,YDEX,SMLT,GMKN,X5,AFLT,MGNT,PLZL,AFKS,TATN,MOEX,MTLR,TRNFP,RNFT,CHMF,NLMK,RAGR,VKCO,SNGSP,SNGS,MAGN,MTSS,ALRS,SVCB,IRAO,UGLD,WUSH,RTKM,OZON,POSI,RUAL,FLOT,HEAD",40
2025-09-30,2025-Q3,"SBER,VTBR,GAZP,T,LKOH,NVTK,SMLT,GMKN,YDEX,PIKK,X5,VKCO,AFLT,ROSN,PLZL,UGLD,AFKS,MOEX,TATN,TRNFP,MTLR,MTSS,MGNT,SNGSP,POSI,NLMK,CHMF,IVAT,SBERP,MAGN,RUAL,RNFT,OZON,SVCB,RTKM,SNGS,UPRO,RAGR,PHOR,WUSH",40
